ZINC ID,compound_ID,DOCK score,Global rank,Tc to knowns,Ki (uM),SMILES,Picking method
ZINCou000005LXM1,Z6615026001,-28,778682853,0.22973,HB,OC=1C(=CC=CC1[N+](=O)[O-])C(=O)NC2(CCC(=O)CC2)C(F)(F)F,auto
ZINCoC0000099rby,Z6615190442,-28,778682876,0.181818,NH,CC(C)[C@H](NC(=O)C(F)(F)F)C(=O)OCCCCCOC(C)(C)C,auto
ZINCno00000okaAp,Z6615025843,-28,778682979,0.189189,NH,CN1C=C(N=C1C(=O)NS(=O)(=O)CCCC(F)(F)F)C(F)(F)F,auto
ZINCnz00000071Mk,Z2366647244,-28,778683052,0.1875,HB,CN(C1CCCC1)C(=O)C(=O)NC2=NC=3CCC(C)(C)CC3S2,auto
ZINCpa00000sfxCI,Z6615397130,-28,778683062,0.213333,NH,CCOCC(=O)N1CCC1CNC(=O)[C@@H](NC(=O)C(F)(F)F)C(C)C,auto
ZINCnz000000fEnH,Z6615025913,-28,778683095,0.377049,260.46,CC=1C=CC=C(C1C#N)S(=O)(=O)NC2=CN=C3C(Cl)=CC=CN23,auto
ZINCpe00000zs66F,Z6615395285,-28,778683099,0.193878,NH,OC=1C=CC=NC1C(=O)N2C[C@@H]3CCC[C@@]3(C2)NC(=O)C4=CCOC4,auto
ZINCpg00000CiYDj,Z6615025849,-28,778683157,0.275362,NH,COC(=O)C(C1CC1)S(=O)(=O)NC(=O)C=2C=CC=C(N=S(=O)(C)C)C2,auto
ZINCnz0000005Z0D,Z1444678214,-28,778683192,0.313433,NH,CCC(C)C(NC(=O)C=1C=C2C=CC(F)=CC2=NC1C)C(=O)O,auto
ZINCl500000i5pXs,Z6615025879,-28,778683194,0.227273,NH,O=C(NS(=O)(=O)C1CCS(=O)(=O)C1)C2CC3(CCC3)CO2,auto
ZINCnA000000nzsj,Z3510958855,-28,778683219,0.275362,NH,CCC(CC)(CNC(=O)NCC12CCCCC2C1(F)F)C(=O)O,auto
ZINCnA000000Co28,Z2150200015,-28,778683237,0.211765,NH,O=C(CN1CCCC=2OC=CC2C1)NC3=NC=4CCCCC4S3,auto
ZINCnA000000kUJb,Z6615026019,-28,778683243,0.291667,NH,CC=1C=CC=CC1OCCCC(=O)NC(CCCC=C)C(=O)O,auto
ZINCnA000000l2wK,Z6615025942,-28,778683245,0.304348,NH,CC1=CSC(=C1)C(=O)NNC(=O)C=2C=CC=C(C)C2OCC=C,auto
ZINCnA000000DK5o,Z3603498651,-28,778683249,0.25641,NH,O=C(NC1=NC=C(S1)C2CCCCO2)N3CCC4COCCC43,auto
ZINCnA000000DKug,Z2838787267,-28,778683251,0.26087,NH,BrC=1C=CC=C(C1)C2=NN=C(NC(=O)NN3CCCCC3=O)S2,auto
ZINCps000004TvbY,Z6615025955,-28,778683321,0.2625,NH,OC(=O)C1N(CC2CCC3(CCOC3)O2)CCC=4C(F)=C(F)C=CC14,auto
ZINCo500000nFiQG,Z6615026036,-28,778683441,0.212121,NH,CC(C)N1C(=O)CC(NS(=O)(=O)CC2CC3(CC(=O)C3)CO2)C1=O,auto
ZINCo500000mWk4X,Z6615026030,-28,778683448,0.27027,NH,CN(CC1=NC(C)=CS1)C(=O)C(=O)NC=2N=C3NC(=O)CCN3N2,auto
ZINCo600000rbS8H,Z6615395151,-28,778683471,0.2,NH,CC(=O)N1C[C@H](O)C[C@H]1C(=O)NC2=NC=C(CC3COCCO3)S2,auto
ZINCo700000se6WG,Z3357468782,-28,778683475,0.205479,NH,FCCN1CCCC(C1)S(=O)(=O)NC(=O)CCNC(=O)C2CCC2,auto
