compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000182842742,36.12,66.66,,,Cc1ccc([N+](=O)[O-])cc1[C@H](C)N1C[C@H]2CCC[C@@H]2C1,-33.47
ZINC000658086473,42.31,54.92,,,COc1ccc([C@@H](C)N[C@H](CO)C2CCC2)cc1Br,-42.01
ZINC000635049325,53.2,3.45,,,O=C(Nc1cscc1Cl)C(=O)N[C@@H]1CCN(CC2CC2)C1,-40.64
ZINC000389015736,54.11,65.53,,,C[C@H](N[C@@H]1CCCc2c3ccccc3[nH]c21)[C@H]1CCCOC1,-19.08
ZINC001195393353,54.46,24.0,,,COc1ccc2c(c1)C[C@H](CN1CCCC[C@H]1CCC(=O)OC(C)(C)C)O2,-29.56
ZINC000582751592,72.38,70.73,,,O[C@@H]1CC[C@@H]2CN(Cc3cccc4c[nH]nc43)C[C@H]12,-44.91
ZINC001420054689,78.46,54.56,,,COCC1(C(=O)N2CCC[C@@H](N(C)CC[C@H](C)F)C2)CC1,-34.38
ZINC000649929688,96.45,71.46,,,O=C(CN1CCC[C@@H]1[C@@H]1CCC[C@H]1O)N1CCOC[C@H]1C1CC1,-34.1
ZINC000245533477,98.49,70.83,,,CC[C@H](C)CNC[C@H]1CCC[C@H]1NS(C)(=O)=O,-21.78
ZINC000341348768,103.41,80.74,,,Cc1cnc(CN[C@@H](CO)CCC(C)(C)C)n1C,-35.78
ZINC001078073018,111.24,83.43,,,C[C@@H](CCNC(=O)C1(CN(C)C)CC1)NC(=O)c1ncccc1O,-27.42
ZINC000948091407,112.16,88.93,,,CCN1CC[C@@H](NC(=O)c2ccnc(-n3cncn3)c2)C[C@@H]1C,-44.72
ZINC000996610565,113.95,99.6,,,CC(C)NC1CCN(C(=O)Cn2cnc(C(N)=O)n2)CC1,-28.98
ZINC000853031922,115.32,33.31,,,Fc1ccc(NC(=S)NC2CCN([C@H]3CCOC3)CC2)cc1,-38.74
ZINC001035320653,118.83,21.58,,,CCc1ocnc1C(=O)NC[C@H]1CN(C[C@@H](C)CC)CCO1,-11.33
ZINC000369129048,119.82,94.93,,,Cn1cc(-c2ncc(CN(CC3CC3)C[C@H]3CN(C)CCO3)cn2)cn1,-26.35
ZINC000416873685,126.95,90.72,,,C[C@H](N)[C@@H]1CCCCN1C(=O)NCc1cn2ccccc2n1,-23.24
ZINC000906421824,127.3,86.58,,,C[C@@H]1CN(C(=O)C2CN(C)CCN(C)C2)CC(C)(C)O1,-17.77
ZINC000661577595,6.41,,8.76,,C(CN1CC[C@@H](C2CCCCC2)C1)C1CCOCC1,-52.5
ZINC000440321606,11.9,,8.38,,CCOC(=O)[C@@H](CC)N1CCN(C2CCC(C(C)C)CC2)CC1,-61.12
ZINC000878406056,11.78,,8.12,,CC(C)(C)[C@@H]1CCN(C[C@@H](O)CC2(O)CCCCC2)C1,-59.57
ZINC001460371878,10.91,,8.1,,O[C@@H](CN1CC[C@@H](C2CCCCC2)C1)CC1(O)CCCCC1,-63.3
ZINC000409447221,9.73,,8.05,,CC(C)(C)[C@@H]1CCN(C[C@@H](O)COCc2ccccc2F)C1,-55.0
ZINC000559413424,11.89,,7.98,,Cc1cccc(C)c1OC[C@H](O)CN1CC[C@@H](CC2CC2)C1,-59.4
ZINC000191344346,8.71,,7.93,,O=C(CC1CCCC1)NC1CCN(C[C@H](O)C2CCCCC2)CC1,-52.5
ZINC000480785335,9.76,,7.89,,CN(C[C@]1(O)CCN(Cc2ccccc2)C1)C(=O)c1ccc(F)c2ccccc12,-52.5
ZINC001376084945,9.72,,7.87,,C[C@H](C(=O)NC[C@]1(O)CCN(CCC2CCCC2)C1)c1ccccc1,-55.0
ZINC000605902355,11.51,,7.86,,O[C@@H](COCc1ccccc1Cl)CN1CC[C@H](Cc2ccc(F)cc2)C1,-61.39
ZINC000872109019,11.62,,7.83,,c1ccc(N2CCC(NC[C@@H]3C[C@H]4CCC[C@@H]4O3)CC2)cc1,-55.0
ZINC000131303503,10.65,,7.83,,CC(C)c1ccc(NC(=O)C(=O)NC2CCC(N3CCC(C)CC3)CC2)cc1,-55.0
ZINC000960887654,12.94,,7.74,,CCc1nnsc1C(=O)N[C@@H]1[C@H]2CN(CC3CCCCCC3)C[C@H]21,-47.5
ZINC000301801549,6.92,,7.71,,c1ccc(CSc2cncc(N3CCC[C@H](N4CCCC4)CC3)n2)cc1,-59.57
ZINC000941634458,12.67,,7.69,,C[C@@H](C(=O)N1CCN(C2CN(CC3CC(C)C3)C2)CC1)C1CCCC1,-50.0
ZINC000481989921,11.74,,7.67,,Cc1cc2[nH]c(CN3CCC[C@H](N4CCCC4)CC3)cc2c(C)c1,-52.5
ZINC000878084395,27.68,,,,O[C@@H](CN1CC[C@@H](c2ccccc2F)C1)CC1(O)CCCCC1,-61.07
ZINC000849049798,8.7,,,,C[C@H]1CN/C(=N/CCCc2c(Cl)cccc2Cl)N1,-61.21
ZINC000076836015,60.46,,,,c1ccc2c(c1)nc(-c1cccnc1)nc2N1CCC[C@H](N2CCCC2)C1,-61.05
ZINC000766031584,63.22,,,,Cc1ccc2c(c1)CC[C@H]2N[C@@H](CO)Cc1ccccc1,-61.44
ZINC000684607185,17.34,,,,CC(C)C1CN(C[C@@H](O)COC(c2ccccc2)c2ccccc2)C1,-62.4
ZINC000683721842,99.84,,,,Clc1ccccc1Cn1cc(CNc2nc3ccccc3[nH]2)cn1,-61.32
