zincid,ID,compound_ID,SMILES,%Inhibition at 100µM,IC50 (DMSO) [µM],IC50 (ACN) [µM],IC50 (EtOH) [µM],Conc. for aggregation test [µM],smiles,tranche,DOCK score
ZINCk50000045Dc0,Z3369700577,Z3369700577,CN1C=NC=C1C(O)C(=O)NC2CCN3N=CC=C3C2,,>200,,,200,Cn1cncc1[C@@H](O)C(=O)N[C@@H]1CCn2nccc2C1,H20M000,-44.91
ZINCkn000005W7Ra,Z3381754472,Z3381754472,O=C(OCC1CCCNC1=O)[C@@H]2CCC=3C=CC=CC23,,>200,,,200,O=C1NCCC[C@@H]1COC(=O)[C@@H]1CCc2ccccc21,H20P170,-46.39
ZINCoD0000019W92,Z3382155230,Z3382155230,CC=1C=NC=C(COC(=O)C2(CC=3C=CC(F)=CC3)CCCO2)C1,,140,,,300,Cc1cncc(COC(=O)[C@@]2(Cc3ccc(F)cc3)CCCO2)c1,H24P330,-48.08
ZINCjp000003TTRF,Z3389569281,Z3389569281,CN(CC(O)CN1CCCC1=O)C=2C=C(Br)C=CN2,,>200,,,200,NC(=O)N[C@H](Cc1ccccc1)Cc1cccnc1,H19P190,-41.7
ZINCmy000006JvsW,Z3414158115,Z3414158115,CN1C=CC(=N1)C2(CC3CC2)C3C(=O)NC=4C=NC=C(Br)C4,,>200,,,200,Cn1ccc([C@@]23CC[C@@H](C2)[C@@H]3C(=O)Nc2cncc(Br)c2)n1,H22P280,-48.14
ZINCnx00000b4Gr4,Z3474280840,Z3474280840,CC(C)N(C(=O)C1CCCC2=NN=CN12)C=3C=CC=C(C#C)C3,,>200,,,200,O=C(c1nncn1C1CC1)N1CC[C@@H]2CC[C@@]21c1ccccc1,H23P270,-54.48
ZINCjv0000037PhJ,Z3523191099,Z3523191099,BrC=1C=CC=C(NC(=O)C2CCCN3C=NN=C23)C1,,>200,,,300,O=C(Nc1cccc(Br)c1)[C@H]1CCCn2cnnc21,H19P250,-35.07
ZINCkv000003vr8C,Z3527457609,Z3527457609,CN(C(=O)C1CCCN2C=NN=C12)C=3C=CC=C(Br)C3,,>200,,,200,CN(C(=O)[C@H]1CCCn2cnnc21)c1cccc(Br)c1,H20P250,-49.56
ZINCkq000003Ybzl,Z3534825816,Z3534825816,O=C1CCN(CC2=CC=CS2)C(=O)N1CC=3C=CON3,,>200,,,200,O=C1CCN(Cc2cccs2)C(=O)N1Cc1ccon1,H20P200,-45.46
ZINCmn00000dBnqC,Z3535317212,Z3535317212,O=C1CCN(CC2=CC=CS2)C(=O)N1CC3=CC=CNC3=O,,29,,,100,O=C1CCN(Cc2cccs2)C(=O)N1Cc1cccnc1O,H22P170,-50.4
ZINCmh00000bLZtw,Z3541227016,Z3541227016,O=C1CCN(CC2=CC=CNC2=O)C(=O)N1CC3=CC=NS3,,130,,,200,O=C1CCN(Cc2cccnc2O)C(=O)N1Cc1ccns1,H22P110,-51.75
